time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1773200109036937500,0.4639375,0.10370790213346481,0.07371040433645248,0.10929697751998901,0.9858325123786926,0.1264018416404724,-0.23288513720035553,-0.19482073187828064
1773200109052927000,0.479927001953125,0.2811022996902466,0.09181597828865051,0.09530873596668243,0.9505091905593872,0.12470121681690216,-0.23495891690254211,-0.5603491067886353
1773200109068917200,0.495917236328125,0.2836639881134033,0.09050089865922928,0.09561217576265335,0.9498435258865356,0.1213071346282959,-0.2351377159357071,-0.5660771727561951
1773200109084909600,0.51190966796875,0.290693074464798,0.08831475675106049,0.09362979233264923,0.9481200575828552,0.11637596786022186,-0.23093678057193756,-0.581487774848938
1773200109100930600,0.5279306640625,0.29699158668518066,0.08435487747192383,0.08991092443466187,0.946887731552124,0.10924112796783447,-0.2222004234790802,-0.5956661105155945
1773200109116345900,0.543345947265625,0.30027827620506287,0.08039913326501846,0.0869191586971283,0.946474552154541,0.10251538455486298,-0.21445788443088531,-0.6033860445022583
1773200109132914000,0.559913818359375,0.30276089906692505,0.07861505448818207,0.08491063863039017,0.9460157155990601,0.09967367351055145,-0.20979225635528564,-0.6089721918106079
1773200109148934400,0.575934326171875,0.3050307333469391,0.07851503789424896,0.08398628234863281,0.9453771710395813,0.09952578693628311,-0.20819725096225739,-0.6138125061988831
1773200109164925700,0.59192578125,0.3089938759803772,0.08008909970521927,0.08243197202682495,0.9440939426422119,0.1026405394077301,-0.2066079080104828,-0.6219556927680969
1773200109204935700,0.631935791015625,0.314135879278183,0.08085131645202637,0.0796017274260521,0.9425737261772156,0.10472684353590012,-0.20223328471183777,-0.6327598690986633
1773200109220927700,0.647927734375,0.3161992132663727,0.0793343037366867,0.07625000923871994,0.9422898888587952,0.1034347340464592,-0.19510558247566223,-0.6373835206031799
1773200109236918800,0.663918701171875,0.3196631669998169,0.07969991862773895,0.0740375816822052,0.9412661790847778,0.10480768233537674,-0.191500723361969,-0.6447020769119263
1773200109252940300,0.679940185546875,0.3198715150356293,0.08303633332252502,0.07308100163936615,0.9409816861152649,0.11179749667644501,-0.1918320655822754,-0.644591212272644
1773200109268931000,0.69593115234375,0.3076227009296417,0.08658146858215332,0.07451536506414413,0.9446266293525696,0.12030017375946045,-0.19528613984584808,-0.6178510189056396
1773200109284921900,0.711921875,0.2987736463546753,0.09065064042806625,0.07653909921646118,0.94692063331604,0.12887214124202728,-0.20046083629131317,-0.5982920527458191
1773200109300914700,0.727914794921875,0.3012716770172119,0.09334003180265427,0.0767517015337944,0.9458500742912292,0.13344810903072357,-0.2028203010559082,-0.6031192541122437
1773200109316935700,0.743935791015625,0.30257993936538696,0.0957985371351242,0.07619624584913254,0.9452313184738159,0.13827480375766754,-0.20341959595680237,-0.6054743528366089
1773200109332936000,0.75993603515625,0.29832616448402405,0.09788549691438675,0.075402170419693,0.9464324712753296,0.14371614158153534,-0.20251108705997467,-0.5960790514945984
