time,seconds_elapsed,magneticBearing
1773200109032937200,0.459937255859375,312.1316296659261
1773200109048355800,0.47535595703125,311.58599747264435
1773200109064919300,0.491919189453125,311.5663691656884
1773200109080926000,0.507926025390625,310.54742884756973
1773200109096935000,0.523934814453125,310.11783587799505
1773200109112932000,0.53993212890625,310.5832457617273
1773200109128915000,0.5559150390625,310.6012946450045
1773200109144937500,0.5719375,310.6720409905893
1773200109160929300,0.58792919921875,310.07087555934766
1773200109208933600,0.63593359375,309.57347756099205
1773200109224924200,0.651924072265625,309.6260285588606
1773200109240916000,0.667916015625,308.8639804624393
1773200109256938000,0.68393798828125,309.2321092440941
1773200109272929000,0.699928955078125,310.2027991913202
1773200109288921300,0.71592138671875,310.2694528162223
1773200109304909300,0.731909423828125,309.90901137542477
1773200109320933400,0.747933349609375,309.9305807488729
1773200109336924700,0.763924560546875,310.1074533945118
1773200109352915000,0.7799150390625,310.31223393164714
1773200109368935400,0.795935302734375,310.68823677187106
1773200109384927200,0.81192724609375,310.7470854612996
1773200109400920800,0.8279208984375,310.2269307455172
1773200109416942800,0.84394287109375,309.5054872854531
1773200109432931000,0.85993115234375,309.9461746190086
1773200109448922600,0.875922607421875,311.2601340718783
1773200109464913400,0.891913330078125,312.32145118922824
1773200109480938200,0.907938232421875,311.535149881829
1773200109496926700,0.9239267578125,311.14132005824314
1773200109512918000,0.93991796875,311.9581568091307
1773200109528912000,0.955911865234375,311.3032887184724
1773200109544931800,0.971931884765625,310.727218913322
1773200109560923100,0.987923095703125,311.0040103903494
1773200109576916200,1.003916259765625,311.7747082274524
1773200109592934400,1.019934326171875,311.9178168515929
1773200109608926200,1.03592626953125,312.53424033907885
1773200109624918800,1.051918701171875,313.032596346803
1773200109640939000,1.06793896484375,312.91144515847594
1773200109656931600,1.083931640625,312.948656935528
1773200109672921300,1.09992138671875,313.22050918463725
1773200109688915500,1.11591552734375,313.73187009349533
1773200109704934100,1.13193408203125,313.52560192729686
1773200109720925400,1.147925537109375,312.5295178769718
