time,seconds_elapsed,z,y,x
1773200109036937500,0.4639375,9.465788841247559,2.263234853744507,-1.2029063701629639
1773200109052927000,0.479927001953125,9.463144302368164,2.283017873764038,-1.186220645904541
1773200109068917200,0.495917236328125,9.466710090637207,2.2847230434417725,-1.154045820236206
1773200109084909600,0.51190966796875,9.481735229492188,2.2446396350860596,-1.108454704284668
1773200109100930600,0.5279306640625,9.508533477783203,2.1611549854278564,-1.0428746938705444
1773200109116345900,0.543345947265625,9.531691551208496,2.087029218673706,-0.9805825352668762
1773200109132914000,0.559913818359375,9.544025421142578,2.0423007011413574,-0.9544509649276733
1773200109148934400,0.575934326171875,9.547395706176758,2.0269994735717773,-0.9533619284629822
1773200109164925700,0.59192578125,9.547572135925293,2.011747360229492,-0.9834238886833191
1773200109204935700,0.631935791015625,9.554161071777344,1.9697401523590088,-1.00425124168396
1773200109220927700,0.647927734375,9.569171905517578,1.9012163877487183,-0.9933298230171204
1773200109236918800,0.663918701171875,9.574553489685059,1.866523265838623,-1.0071772336959839
1773200109252940300,0.679940185546875,9.56666374206543,1.8697130680084229,-1.0740073919296265
1773200109268931000,0.69593115234375,9.550718307495117,1.9029533863067627,-1.1545279026031494
1773200109284921900,0.711921875,9.530577659606934,1.9527095556259155,-1.2350709438323975
1773200109300914700,0.727914794921875,9.520234107971191,1.975379228591919,-1.2780529260635376
1773200109316935700,0.743935791015625,9.512779235839844,1.981135368347168,-1.3238255977630615
1773200109332936000,0.75993603515625,9.50721263885498,1.9724088907241821,-1.37582528591156
1773200109348915000,0.7759150390625,9.503725051879883,1.9672892093658447,-1.4069000482559204
1773200109364937700,0.791937744140625,9.50152587890625,1.9591577053070068,-1.4328607320785522
1773200109380930600,0.8079306640625,9.500557899475098,1.9456647634506226,-1.4574588537216187
1773200109396921900,0.823921875,9.499859809875488,1.9286774396896362,-1.484336495399475
1773200109412942300,0.8399423828125,9.498266220092773,1.9118810892105103,-1.5159318447113037
1773200109428934700,0.8559345703125,9.494845390319824,1.8990470170974731,-1.5530365705490112
1773200109444924400,0.87192431640625,9.488758087158203,1.8933067321777344,-1.5966341495513916
1773200109460916000,0.887916015625,9.48100471496582,1.8933874368667603,-1.6419605016708374
1773200109484936000,0.91193603515625,9.472525596618652,1.8900940418243408,-1.693867802619934
1773200109500927700,0.927927734375,9.470271110534668,1.8822546005249023,-1.7150760889053345
1773200109516918300,0.943918212890625,9.46877384185791,1.8741897344589233,-1.7320878505706787
1773200109532937700,0.959937744140625,9.466429710388184,1.8704603910446167,-1.74884831905365
1773200109548931300,0.975931396484375,9.4620943069458,1.873416781425476,-1.7690293788909912
1773200109564919800,0.991919921875,9.455423355102539,1.8840997219085693,-1.7931872606277466
1773200109580910800,1.007910888671875,9.448007583618164,1.8960093259811401,-1.8195289373397827
1773200109596935200,1.02393505859375,9.44318962097168,1.899649739265442,-1.840625286102295
1773200109612926500,1.039926513671875,9.442771911621094,1.8930450677871704,-1.849549412727356
1773200109628916500,1.05591650390625,9.446581840515137,1.8784691095352173,-1.8449474573135376
1773200109644939800,1.071939697265625,9.451705932617188,1.8596009016036987,-1.8378033638000488
1773200109660928000,1.087927978515625,9.454976081848145,1.8413732051849365,-1.839337944984436
1773200109676920600,1.103920654296875,9.454827308654785,1.8264681100845337,-1.8548991680145264
1773200109692912000,1.119912109375,9.453519821166992,1.8154677152633667,-1.8722821474075317
1773200109708934100,1.13593408203125,9.453105926513672,1.8055040836334229,-1.883967399597168
1773200109724924700,1.151924560546875,9.453702926635742,1.7995015382766724,-1.8867127895355225
1773200109740916000,1.167916015625,9.453577995300293,1.8003262281417847,-1.8865525722503662
1773200109756938200,1.183938232421875,9.452430725097656,1.8079279661178589,-1.8850276470184326
1773200109772928500,1.199928466796875,9.450461387634277,1.820507287979126,-1.8827917575836182
1773200109788921900,1.215921875,9.44786548614502,1.8349151611328125,-1.8818336725234985
1773200109804944000,1.23194384765625,9.444694519042969,1.849371314048767,-1.8836036920547485
1773200109820935200,1.24793505859375,9.44144058227539,1.8639404773712158,-1.8855538368225098
1773200109836925200,1.26392529296875,9.437381744384766,1.8793386220932007,-1.8905808925628662
1773200109852914200,1.2799140625,9.42928409576416,1.9025018215179443,-1.9077423810958862
1773200109868936400,1.2959365234375,9.426465034484863,1.9143908023834229,-1.9097766876220703
1773200109884927500,1.311927490234375,9.426660537719727,1.9208087921142578,-1.902353286743164
1773200109900919800,1.327919921875,9.428954124450684,1.9221233129501343,-1.8896161317825317
1773200109916942300,1.3439423828125,9.432961463928223,1.9165703058242798,-1.8752050399780273
1773200109932933000,1.35993310546875,9.43847942352295,1.906424641609192,-1.8576946258544922
1773200109948923100,1.375923095703125,9.445226669311523,1.8941020965576172,-1.835882306098938
1773200109964915500,1.39191552734375,9.453322410583496,1.8794634342193604,-1.8090593814849854
1773200109980935700,1.407935791015625,9.46137523651123,1.8669291734695435,-1.7797012329101562
1773200109996929500,1.423929443359375,9.469009399414062,1.8551496267318726,-1.751189947128296
1773200110012919300,1.439919189453125,9.4757080078125,1.8418866395950317,-1.7288110256195068
1773200110028942600,1.455942626953125,9.480524063110352,1.8279680013656616,-1.7171400785446167
1773200110044931800,1.471931884765625,9.483250617980957,1.813632607460022,-1.7172902822494507
1773200110060924400,1.48792431640625,9.485527992248535,1.7984375953674316,-1.720685362815857
1773200110076916200,1.503916259765625,9.489283561706543,1.780030608177185,-1.7191203832626343
1773200110092936400,1.5199365234375,9.495140075683594,1.7571403980255127,-1.7103102207183838
