time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1773200110014000000,1.441000244140625,45,1.5,2.574018955230713,27.030000686645508,0,0,170.3000030517578,77.5082242,28.4631779
1773200115237878800,6.664878662109375,180,1.5,2.6262576580047607,58.356998443603516,0.30592942237854004,164.00552368164062,170.3000030517578,77.5082352,28.4631441
1773200116238216700,7.665216796875,180,5.923189640045166,2.636261224746704,46.159000396728516,3.928272247314453,100.91004943847656,170.3000030517578,77.5082478,28.4630957
1773200116619131600,8.046131591796875,180,5.923189640045166,2.636261224746704,42.07899856567383,4.141034126281738,97.8018569946289,170.3000030517578,77.5082511,28.4630857
1773200117259815400,8.6868154296875,180,4.899127960205078,4.432960510253906,38.07600021362305,4.862063407897949,92.0054702758789,168.90000915527344,77.5082836,28.4630949
1773200117272905000,8.699905029296875,180,4.899127960205078,4.442971706390381,35.6879997253418,4.98836612701416,90.85691833496094,168.90000915527344,77.5082849,28.4630987
1773200118279315500,9.7063154296875,107.45287322998047,1.0357749462127686,4.442971706390381,33.57500076293945,3.6133785247802734,39.146942138671875,168.90000915527344,77.5083099,28.4631161
1773200118312913000,9.739912841796874,106.35552215576172,1.0357749462127686,4.452961444854736,32.07600021362305,3.392866373062134,30.969375610351562,168.90000915527344,77.5082996,28.463117
1773200119248886800,10.67588671875,104.79385375976562,0.6066439747810364,4.462958812713623,30.530000686645508,0.5395770072937012,20.041749954223633,168.90000915527344,77.5083039,28.4631475
1773200119596438000,11.02343798828125,106.10771942138672,0.4662710428237915,4.462958812713623,29.05500030517578,0.3838939666748047,39.95614242553711,168.90000915527344,77.5082992,28.4631574
1773200120139939800,11.56693994140625,106.75203704833984,0.46591120958328247,4.462958812713623,27.889999389648438,0.3824458420276642,44.963932037353516,168.90000915527344,77.5082973,28.4631629
1773200120288920000,11.715920166015625,106.59375762939453,0.24401603639125824,4.472963809967041,23.784000396728516,0.11138655245304108,49.91156005859375,168.90000915527344,77.5082949,28.4631647
1773200120757344300,12.18434423828125,102.72915649414062,0.20996758341789246,4.472963809967041,22.990999221801758,0.14222534000873566,61.026611328125,168.90000915527344,77.5082963,28.4631703
1773200121237999900,12.664999755859375,95.97103881835938,0.16351811587810516,4.4829583168029785,22.222999572753906,0.1398281455039978,76.98060607910156,168.90000915527344,77.5082965,28.463175
1773200121495903200,12.9229033203125,94.89530181884766,0.16351811587810516,4.4829583168029785,20.54400062561035,0.13982509076595306,79.47827911376953,168.90000915527344,77.5082966,28.4631771
1773200122095980000,13.52297998046875,94.5982894897461,0.20421704649925232,4.4829583168029785,18.874000549316406,0.20043665170669556,90.4348373413086,168.90000915527344,77.5082972,28.4631787
1773200122264934000,13.691933837890625,97.9700927734375,0.20179201662540436,4.492969512939453,18.500999450683594,0.19195576012134552,111.39396667480469,168.90000915527344,77.5082963,28.4631789
1773200122774931000,14.201930908203124,81.06656646728516,0.20174828171730042,4.492969512939453,16.64900016784668,0.19516508281230927,94.3058853149414,168.90000915527344,77.5083095,28.4631888
1773200123208933600,14.63593359375,78.22774505615234,0.22993870079517365,6.884047985076904,16.260000228881836,0.2580172121524811,105.17925262451172,168.60000610351562,77.5083161,28.4631935
1773200123304943600,14.731943603515624,82.73989868164062,0.2296164482831955,6.884565830230713,15.387999534606934,0.2566254734992981,113.93939971923828,168.60000610351562,77.5083184,28.463195
1773200123435947300,14.862947265625,75.90763092041016,0.206162229180336,6.884565830230713,14.298999786376953,0.2284238040447235,114.75202941894531,168.60000610351562,77.5083281,28.4631988
1773200124240918300,15.667918212890624,79.46029663085938,0.22322751581668854,6.894566535949707,13.460000038146973,0.2217903435230255,133.6749725341797,168.60000610351562,77.5083366,28.4632005
1773200125079266000,16.50626611328125,81.55838012695312,0.2076214700937271,6.894566535949707,12.63700008392334,0.2053036242723465,141.76708984375,168.60000610351562,77.5083468,28.4632008
1773200125280927700,16.707927734375,82.37091064453125,0.22732162475585938,6.904567241668701,11.348999977111816,0.22475719451904297,143.69149780273438,168.60000610351562,77.508349,28.4632007
1773200125899847700,17.32684765625,82.64897918701172,0.2287244349718094,6.904567241668701,10.54699993133545,0.22049009799957275,153.72535705566406,168.60000610351562,77.5083533,28.4631982
1773200126320899800,17.74789990234375,90.45232391357422,0.2890379726886749,6.914567470550537,9.869999885559082,0.27652913331985474,160.49429321289062,168.60000610351562,77.5083551,28.4631977
1773200126620204500,18.04720458984375,88.02166748046875,0.2374592423439026,6.914567470550537,9.149999618530273,0.2224877029657364,171.6269989013672,168.60000610351562,77.508356,28.4631959
1773200127256905500,18.683905517578125,96.7074203491211,0.26590561866760254,6.924569606781006,7.942999839782715,0.27853429317474365,191.86424255371094,168.60000610351562,77.5083564,28.4631947
1773200127460376800,18.887376953125,88.36126708984375,0.22490540146827698,6.924569606781006,7.703999996185303,0.24009184539318085,201.84555053710938,168.60000610351562,77.5083567,28.4631933
1773200128296881700,19.723881591796875,99.25077056884766,0.24333113431930542,6.934566974639893,6.295000076293945,0.2926323115825653,192.39845275878906,168.60000610351562,77.5083565,28.4631921
1773200128439028200,19.8660283203125,73.39386749267578,0.2132982611656189,6.934566974639893,5.85099983215332,0.2482306808233261,187.70335388183594,168.60000610351562,77.5083565,28.4631834
1773200129239160000,20.66616015625,66.91248321533203,0.16298504173755646,6.9445695877075195,5.3429999351501465,0.18944485485553741,122.42875671386719,168.60000610351562,77.5083553,28.463173
1773200129648902000,21.07590185546875,69.21868133544922,0.18846222758293152,8.217778205871582,5.210999965667725,0.2068200558423996,99.79399871826172,168.60000610351562,77.5083553,28.4631701
1773200129919018500,21.3460185546875,67.37239837646484,0.2073947936296463,8.217778205871582,5.103000164031982,0.22429615259170532,90.88783264160156,168.60000610351562,77.5083555,28.4631691
1773200130272893200,21.69989306640625,73.52667999267578,0.15728409588336945,8.223762512207031,4.734000205993652,0.18181666731834412,76.74675750732422,168.60000610351562,77.5083558,28.4631688
1773200131312901400,22.7399013671875,79.3431167602539,0.1538524478673935,8.233759880065918,4.446000099182129,0.14555470645427704,65.28507995605469,168.60000610351562,77.5083528,28.4631631
1773200132248941600,23.675941650390627,86.91015625,0.13760118186473846,8.243759155273438,4.25600004196167,0.1419331580400467,95.70112609863281,168.60000610351562,77.5083487,28.4631583
1773200133288919300,24.715919189453125,78.62423706054688,0.13821151852607727,8.253761291503906,3.7200000286102295,0.11776707321405411,84.46786499023438,168.60000610351562,77.5083431,28.4631529
1773200134328928800,25.7559287109375,73.92982482910156,0.1535109430551529,8.263766288757324,3.5230000019073486,0.13392561674118042,66.9529037475586,168.60000610351562,77.5083389,28.4631457
