time,seconds_elapsed,magneticBearing
1773231947708659700,0.29865966796875,184.4148132976727
1773231947724728300,0.314728271484375,162.8142934361626
1773231947740718000,0.330718017578125,153.1690765868623
1773231947756740900,0.346740966796875,153.61219721318133
1773231947772730400,0.36273046875,153.34479111482145
1773231947788738600,0.378738525390625,153.92087028946145
1773231947804714200,0.39471435546875,154.17900838716054
1773231947820736500,0.410736572265625,153.73901763812046
1773231947836728300,0.426728271484375,153.5218255903658
1773231947852720000,0.44272021484375,152.90850840067085
1773231947868739000,0.458739013671875,152.8681135829059
1773231947884732700,0.474732666015625,152.86376697787094
1773231947900723700,0.4907236328125,152.42832668703235
1773231947916714800,0.50671484375,152.35808726629367
1773231947932737000,0.522737060546875,152.5701733444764
1773231947948728000,0.53872802734375,153.87064868409257
1773231947964717300,0.55471728515625,154.22761462229084
1773231947980740600,0.57074072265625,153.38994076337698
1773231947996729600,0.5867294921875,154.6349182995045
1773231948012724000,0.602723876953125,154.62111757482214
1773231948028713700,0.618713623046875,154.14445715661913
1773231948044734500,0.634734375,154.20245901642514
1773231948060726500,0.6507265625,154.3036924984866
1773231948076718600,0.666718505859375,154.07255453170092
1773231948092740900,0.682740966796875,153.88082167266
1773231948108731600,0.698731689453125,155.1559531074225
1773231948124720600,0.714720703125,155.1050376917499
1773231948140713200,0.730713134765625,153.98103929585176
1773231948156734700,0.746734619140625,153.70415222095482
1773231948172727600,0.7627275390625,153.83221740961375
1773231948188718000,0.778718017578125,154.23685910165383
1773231948204738000,0.794738037109375,155.2317017478822
1773231948220729000,0.81072900390625,155.50031853685877
1773231948236721400,0.826721435546875,155.2923058091626
1773231948252714200,0.84271435546875,156.04756186266542
1773231948268734700,0.858734619140625,156.497420862247
1773231948284724200,0.87472412109375,156.23617810811865
1773231948300717600,0.890717529296875,156.45463198376828
1773231948316737000,0.906737060546875,157.4399900121276
1773231948332731100,0.922731201171875,158.1467072018418
1773231948348722000,0.938721923828125,159.04980003860084
1773231948364741600,0.95474169921875,160.63373846213943
1773231948380734200,0.970734130859375,161.08307909422834
1773231948396724500,0.986724365234375,161.11153320747368
1773231948412717800,1.0027177734375,161.77168162931787
1773231948428738600,1.018738525390625,162.66847754481955
1773231948444730000,1.034730224609375,163.5060166240668
1773231948460721000,1.050720947265625,163.5097236135063
1773231948476710100,1.066710205078125,161.56505068213673
1773231948492733400,1.0827333984375,160.8815100321161
1773231948508725200,1.098725341796875,160.32641563381475
1773231948524715500,1.114715576171875,158.2901164314036
1773231948540738300,1.13073828125,157.67958691692377
1773231948556727600,1.1467275390625,156.93300298051892
1773231948572722200,1.16272216796875,154.84768391245905
1773231948588741400,1.178741455078125,154.53665535896567
1773231948604732200,1.194732177734375,155.0648755835682
1773231948620725000,1.21072509765625,154.81587623657012
1773231948636714000,1.2267138671875,154.8044962035063
1773231948652739000,1.242739013671875,154.6638773039041
1773231948668728800,1.258728759765625,154.9184668402586
1773231948684719900,1.274719970703125,155.781823182601
1773231948700740400,1.290740234375,155.90026211040214
1773231948716731600,1.306731689453125,155.84793077446898
1773231948732725500,1.3227255859375,156.36467131817645
1773231948748716500,1.338716552734375,156.58093661915686
1773231948764735200,1.3547353515625,156.31621598744763
1773231948780728600,1.370728515625,155.71071155512408
1773231948796717600,1.386717529296875,155.40357307921963
1773231948812742100,1.4027421875,155.40020981377756
1773231948828732200,1.418732177734375,153.76806013280526
1773231948844736300,1.434736328125,152.959475776902
1773231948860713500,1.45071337890625,153.8988724141015
1773231948876735500,1.466735595703125,153.93833320443048
1773231948892728600,1.482728515625,152.42341116466005
1773231948908719000,1.498718994140625,152.32792131692028
1773231948924740900,1.514740966796875,153.15726499903317
1773231948940732200,1.530732177734375,153.434948822922
1773231948956723700,1.5467236328125,152.9710252078606
1773231948972715300,1.56271533203125,151.60210808261715
1773231948988737300,1.5787373046875,152.2366588517793
1773231949004726300,1.594726318359375,152.3411284628531
1773231949020718800,1.61071875,152.26027919312472
1773231949036740000,1.626739990234375,152.93791598714932
1773231949052730000,1.642730224609375,151.7609031605509
1773231949068721700,1.6587216796875,151.66488175844776
1773231949084714500,1.674714599609375,151.23411301604835
1773231949100736000,1.690736083984375,150.72610273842773
1773231949116727000,1.70672705078125,150.17884127807804
1773231949132719600,1.7227197265625,148.89273537430032
1773231949148738800,1.73873876953125,148.38559212153115
1773231949164731000,1.75473095703125,149.28109634183318
1773231949180722400,1.770722412109375,150.11651234675972
1773231949196713500,1.78671337890625,149.40475592314456
1773231949212736000,1.802736083984375,148.80811481841582
1773231949228727800,1.818727783203125,148.90984376610572
1773231949244719400,1.83471923828125,149.07257527600387
1773231949260739300,1.8507392578125,150.16577480656454
1773231949276728800,1.866728759765625,151.11341862375556
1773231949292722400,1.882722412109375,151.414122761734
1773231949308741400,1.898741455078125,150.7219824590224
1773231949324733000,1.91473291015625,150.71770421758316
1773231949340724200,1.93072412109375,151.04900469783388
1773231949356716800,1.946716796875,151.58427907372138
1773231949372740000,1.962739990234375,152.2364671377438
1773231949388728600,1.978728515625,150.86104417280498
1773231949404719600,1.9947197265625,150.68999231634356
1773231949420711200,2.010711181640625,151.05103066926705
1773231949436732700,2.026732666015625,150.36325029338533
1773231949452726000,2.04272607421875,150.18690856119977
1773231949468716300,2.05871630859375,150.34869529459112
1773231949484736800,2.07473681640625,150.87189908085563
1773231949500729600,2.0907294921875,151.16014648914492
1773231949516720600,2.106720703125,151.4341635184609
1773231949532713000,2.122712890625,151.91461400497482
1773231949548734000,2.13873388671875,151.65430641763191
1773231949564723000,2.154722900390625,151.2284974628802
1773231949580716300,2.17071630859375,150.64224587813376
1773231949596738000,2.186738037109375,149.8901815858003
1773231949612729300,2.202729248046875,149.88046023841463
1773231949628717800,2.2187177734375,150.05961790093318
1773231949644741400,2.234741455078125,150.2972072005598
1773231949660733400,2.2507333984375,150.29654826351882
1773231949676724700,2.266724853515625,150.6177448158088
1773231949692716500,2.282716552734375,151.34404494081457
1773231949708737500,2.298737548828125,151.2892769671391
1773231949724728800,2.314728759765625,150.54159630841446
1773231949740719900,2.330719970703125,150.1111612707089
1773231949756740000,2.346739990234375,149.37526732723586
1773231949772733700,2.362733642578125,149.66673559720405
1773231949788721700,2.3787216796875,151.6267680424976
1773231949804715300,2.39471533203125,149.76919721666962
1773231949820736500,2.410736572265625,148.00708815668418
1773231949836726800,2.426726806640625,150.19721546757415
1773231949852718800,2.44271875,150.99056254946285
1773231949868740900,2.458740966796875,150.1111612707089
1773231949884731400,2.4747314453125,148.7755361997795
1773231949900721700,2.4907216796875,149.19662423972454
1773231949916713700,2.506713623046875,148.55376389189456
1773231949932737800,2.52273779296875,147.96974365724628
1773231949948727300,2.538727294921875,148.52114927945712
1773231949964717600,2.554717529296875,148.42273707248765
1773231949980740900,2.570740966796875,148.11567263795703
1773231949996730600,2.586730712890625,147.79003275728414
1773231950012723500,2.602723388671875,148.09376490160764
1773231950028713700,2.618713623046875,148.5759658845541
1773231950044736000,2.634736083984375,148.2070994754779
1773231950060725500,2.6507255859375,147.03059750120406
1773231950076716300,2.66671630859375,147.90740746416313
1773231950092741400,2.682741455078125,149.82886248485033
1773231950108731100,2.698731201171875,149.37932706457062
