time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1773231947712703000,0.302702880859375,0.10839106887578964,-0.020873259752988815,0.05426373332738876,0.9924067258834839,-0.05350387841463089,-0.10336239635944366,-0.22034664452075958
1773231947728726300,0.318726318359375,-0.9886599183082581,-0.05675147846341133,-0.017169950529932976,0.13797111809253693,-0.04992039129137993,-0.10768591612577438,2.8615853786468506
1773231947744717600,0.334717529296875,-0.9694338440895081,-0.058845579624176025,-0.003731904551386833,0.23816251754760742,-0.035497307777404785,-0.11255369335412979,2.6577908992767334
1773231947760738300,0.35073828125,-0.9686057567596436,-0.05422838404774666,0.006152643822133541,0.24253734946250916,-0.01447104662656784,-0.10824762284755707,2.65010142326355
1773231947776729600,0.3667294921875,-0.9655874371528625,-0.051371198147535324,0.01433993224054575,0.25455108284950256,0.00154853833373636,-0.10670965909957886,2.6261579990386963
1773231947792723500,0.382723388671875,-0.9660397171974182,-0.052280303090810776,0.016711454838514328,0.252497136592865,0.005922217853367329,-0.10966859012842178,2.6306095123291016
1773231947808744700,0.39874462890625,-0.9658811688423157,-0.05254188925027847,0.019800156354904175,0.2528257966041565,0.011754886247217655,-0.11174281686544418,2.6302247047424316
1773231947824735200,0.4147353515625,-0.9638477563858032,-0.052555881440639496,0.02536170743405819,0.2599848806858063,0.021706629544496536,-0.11475072056055069,2.6159071922302246
1773231947840727300,0.430727294921875,-0.9616722464561462,-0.054246559739112854,0.030443178489804268,0.2670525312423706,0.029801230877637863,-0.12088891118764877,2.601654529571533
1773231947856718800,0.44671875,-0.9581131339073181,-0.058639220893383026,0.03503110259771347,0.2781248390674591,0.034820444881916046,-0.13223712146282196,2.578859806060791
1773231947872739600,0.462739501953125,-0.9556246995925903,-0.06588473916053772,0.03919987753033638,0.28443628549575806,0.0378679558634758,-0.14877007901668549,2.565826416015625
1773231947888729900,0.478729736328125,-0.9533935189247131,-0.07230942696332932,0.040651410818099976,0.29010307788848877,0.0360398031771183,-0.16217482089996338,2.553755760192871
1773231947904720600,0.494720703125,-0.9518459439277649,-0.0747654065489769,0.0416562594473362,0.2943880259990692,0.03578987345099449,-0.16764062643051147,2.5447006225585938
1773231947920743200,0.5107431640625,-0.9524819254875183,-0.07464582473039627,0.03746115043759346,0.2929212152957916,0.028015045449137688,-0.1648900955915451,2.5471978187561035
1773231947936734700,0.526734619140625,-0.9537184834480286,-0.08174668997526169,0.035603560507297516,0.28717783093452454,0.02129530906677246,-0.1773032695055008,2.5585289001464844
1773231947952726800,0.542726806640625,-0.9539845585823059,-0.09235556423664093,0.04179682955145836,0.2822001874446869,0.02819369174540043,-0.20115554332733154,2.5692174434661865
1773231947968717600,0.558717529296875,-0.9491827487945557,-0.10241463780403137,0.05080830678343773,0.29322677850723267,0.03735074773430824,-0.2261396199464798,2.546584367752075
1773231947984737500,0.574737548828125,-0.9408392906188965,-0.11174491047859192,0.059729840606451035,0.3142719268798828,0.04352676495909691,-0.250419944524765,2.5023107528686523
1773231948000729300,0.590729248046875,-0.9404312968254089,-0.12397921085357666,0.06368356198072433,0.310100793838501,0.04459202289581299,-0.2761821746826172,2.510759115219116
1773231948016722200,0.60672216796875,-0.9396018385887146,-0.12265503406524658,0.06654786318540573,0.31253084540367126,0.05030848830938339,-0.27556464076042175,2.506352186203003
1773231948032743200,0.6227431640625,-0.9397320747375488,-0.12112270295619965,0.06836267560720444,0.3123452961444855,0.054891590029001236,-0.2737579047679901,2.507376194000244
1773231948048735000,0.63873486328125,-0.9398967623710632,-0.11987507343292236,0.06956787407398224,0.3120650053024292,0.05812574550509453,-0.27210521697998047,2.5084152221679688
1773231948064725500,0.6547255859375,-0.9399780631065369,-0.11927562206983566,0.07061126828193665,0.31181520223617554,0.060620009899139404,-0.27159497141838074,2.5092716217041016
1773231948080715300,0.67071533203125,-0.9387338757514954,-0.11891545355319977,0.07226955890655518,0.31530147790908813,0.06305689364671707,-0.27218157052993774,2.5021495819091797
1773231948096737500,0.686737548828125,-0.9382064342498779,-0.11846385896205902,0.07381818443536758,0.3166795074939728,0.06596135348081589,-0.27239668369293213,2.499577283859253
1773231948112730000,0.702730224609375,-0.9385573267936707,-0.1176331490278244,0.07264745980501175,0.31621989607810974,0.06434614211320877,-0.2700255513191223,2.5003840923309326
1773231948128720400,0.718720458984375,-0.9392868280410767,-0.11759254336357117,0.07006308436393738,0.3146481215953827,0.0597899965941906,-0.26820051670074463,2.5031864643096924
1773231948144743200,0.7347431640625,-0.939760148525238,-0.118898905813694,0.0684468150138855,0.3130958378314972,0.05625411495566368,-0.26958736777305603,2.5060243606567383
1773231948160734500,0.750734375,-0.9400394558906555,-0.12246014177799225,0.06657659262418747,0.3112826347351074,0.0508640855550766,-0.2751413881778717,2.509089469909668
1773231948176726300,0.766726318359375,-0.9404511451721191,-0.12703029811382294,0.06484490633010864,0.3085613548755646,0.04539034888148308,-0.282699316740036,2.5139875411987305
1773231948192716500,0.782716552734375,-0.9410150051116943,-0.13088065385818481,0.06386638432741165,0.3054214119911194,0.042009178549051285,-0.28935450315475464,2.520035743713379
1773231948208738600,0.798738525390625,-0.9417570233345032,-0.13282006978988647,0.06361264735460281,0.302334189414978,0.04127093404531479,-0.292798787355423,2.5264012813568115
1773231948224729000,0.81472900390625,-0.9422860145568848,-0.13241368532180786,0.0644989088177681,0.3006719648838043,0.043800219893455505,-0.2924814224243164,2.53029465675354
1773231948240721000,0.830720947265625,-0.942205548286438,-0.13013209402561188,0.06743866950273514,0.3012745678424835,0.05081244558095932,-0.28990110754966736,2.5300509929656982
1773231948256741600,0.84674169921875,-0.9414169788360596,-0.12844599783420563,0.07123631238937378,0.30358055233955383,0.05860292539000511,-0.2891049385070801,2.526238441467285
1773231948272733200,0.862733154296875,-0.9400713443756104,-0.129688560962677,0.07538799196481705,0.3062082529067993,0.06516112387180328,-0.29422879219055176,2.521470069885254
1773231948288723500,0.878723388671875,-0.9381074905395508,-0.13410815596580505,0.08133522421121597,0.3087943196296692,0.073258176445961,-0.30662989616394043,2.516925096511841
1773231948304716500,0.894716552734375,-0.9352908134460449,-0.14039796590805054,0.09075044840574265,0.31190359592437744,0.08682108670473099,-0.32492387294769287,2.512061357498169
1773231948320737800,0.91073779296875,-0.9315924644470215,-0.14693665504455566,0.10404709726572037,0.3157835900783539,0.10764696449041367,-0.34636709094047546,2.5068085193634033
1773231948336729600,0.9267294921875,-0.9272993206977844,-0.15297403931617737,0.11967463046312332,0.319988876581192,0.13337458670139313,-0.368583619594574,2.501926898956299
1773231948352721000,0.942720947265625,-0.9228145480155945,-0.15797297656536102,0.13605019450187683,0.3239572048187256,0.1614881455898285,-0.3894810676574707,2.4982852935791016
1773231948368742100,0.9587421875,-0.9185447692871094,-0.16181305050849915,0.15080204606056213,0.3276442885398865,0.187327578663826,-0.40724802017211914,2.4951207637786865
1773231948384734000,0.97473388671875,-0.9157389402389526,-0.16358673572540283,0.15988922119140625,0.3302985429763794,0.20350798964500427,-0.4172280430793762,2.492482900619507
1773231948400722200,0.99072216796875,-0.9140653014183044,-0.16281020641326904,0.16682857275009155,0.3318820595741272,0.21743403375148773,-0.42067110538482666,2.4916234016418457
1773231948416714800,1.00671484375,-0.9131788015365601,-0.15893436968326569,0.17216262221336365,0.33347344398498535,0.22999504208564758,-0.4170820116996765,2.4902045726776123
1773231948432737000,1.022737060546875,-0.9131889343261719,-0.15316897630691528,0.17440783977508545,0.3349734842777252,0.23743189871311188,-0.40779751539230347,2.4877538681030273
1773231948448727300,1.038727294921875,-0.9137388467788696,-0.14793181419372559,0.1728854924440384,0.3366129696369171,0.23681451380252838,-0.39708638191223145,2.4835257530212402
1773231948464720400,1.054720458984375,-0.9140395522117615,-0.1444212645292282,0.16894294321537018,0.33931201696395874,0.22981373965740204,-0.3883504569530487,2.4760689735412598
1773231948480740600,1.07074072265625,-0.9134134650230408,-0.1427585631608963,0.16391584277153015,0.3441329300403595,0.21863432228565216,-0.3829008936882019,2.4635159969329834
1773231948496733000,1.08673291015625,-0.9118751883506775,-0.14217329025268555,0.15763768553733826,0.35131287574768066,0.20333002507686615,-0.37906163930892944,2.4452502727508545
1773231948512723500,1.102723388671875,-0.9106202125549316,-0.14129675924777985,0.1507495492696762,0.3578837513923645,0.18737974762916565,-0.37388738989830017,2.4282026290893555
1773231948528714000,1.1187138671875,-0.9105126261711121,-0.1393023282289505,0.14426127076148987,0.3615942597389221,0.17434000968933105,-0.36612626910209656,2.417884349822998
1773231948544736500,1.134736572265625,-0.9115516543388367,-0.13567227125167847,0.13850219547748566,0.36260703206062317,0.16512304544448853,-0.3552111089229584,2.414095878601074
1773231948560726800,1.150726806640625,-0.9132506251335144,-0.12975069880485535,0.1332245171070099,0.3624766170978546,0.15900975465774536,-0.3400893807411194,2.4132747650146484
1773231948576720600,1.166720703125,-0.9150094389915466,-0.12190328538417816,0.1290733814239502,0.36226725578308105,0.15654216706752777,-0.32214656472206116,2.413116216659546
1773231948592742000,1.182741943359375,-0.9172323346138,-0.11377596110105515,0.12612497806549072,0.3603227138519287,0.15721920132637024,-0.30428317189216614,2.4171149730682373
1773231948608731000,1.19873095703125,-0.9202439188957214,-0.10798611491918564,0.12282013148069382,0.3555354177951813,0.15641061961650848,-0.29013434052467346,2.4271223545074463
1773231948624722700,1.21472265625,-0.9234147071838379,-0.10552974045276642,0.11734750121831894,0.3498546779155731,0.1492530256509781,-0.2806752920150757,2.4383959770202637
1773231948640745200,1.2307451171875,-0.9258179664611816,-0.1061391830444336,0.11123286932706833,0.34528663754463196,0.1383594274520874,-0.27686935663223267,2.4469501972198486
1773231948656735700,1.24673583984375,-0.9270469546318054,-0.10780496895313263,0.10771683603525162,0.34257739782333374,0.13122621178627014,-0.2772204279899597,2.451981544494629
1773231948672726800,1.262726806640625,-0.927054762840271,-0.10967137664556503,0.10894249379634857,0.3415747582912445,0.13266335427761078,-0.28146860003471375,2.4543797969818115
