time,seconds_elapsed,steps
1773230350522206000,-65.8597939453125,0
1773230446886182000,30.504181884765625,6
1773230447366163200,30.9841630859375,7
1773230447766152400,31.38415234375,8
1773230448246165500,31.86416552734375,9
1773230449686166000,33.304166015625,10
1773230583526181000,167.14418115234375,22
1773230584006192600,167.62419262695312,23
1773230584486173400,168.10417333984375,24
1773230585126189600,168.744189453125,25
1773230586086181600,169.704181640625,27
1773230586806130200,170.42413012695312,28
1773230587206123500,170.82412353515625,29
1773230587606146600,171.224146484375,30
1773230588086127000,171.70412719726562,31
1773230588646125000,172.264125,32
1773230589206123500,172.82412353515625,33
1773230589686132700,173.3041328125,34
1773230590246128400,173.86412841796874,35
1773230590966128400,174.58412841796874,36
1773230591286137300,174.90413745117186,37
1773230592006137000,175.62413720703125,38
1773230593526126300,177.14412622070313,39
1773230594086123000,177.704123046875,40
1773230594566133500,178.18413354492188,41
1773230595846130400,179.46413037109374,42
1773230603366179300,186.98417944335938,48
1773230683606211300,267.2242114257813,60
1773230684246224600,267.864224609375,61
1773230684806224400,268.42422436523435,62
1773230685366222000,268.98422216796877,63
1773230686006239000,269.62423901367185,64
1773230686886246100,270.50424609375,65
1773230687446244400,271.06424438476563,66
1773230688006155000,271.6241550292969,67
1773230688806141400,272.4241413574219,68
1773230689286152400,272.90415234375,69
1773230689926137900,273.54413793945315,70
1773230690486134500,274.10413452148435,71
1773230690966143500,274.5841435546875,72
1773230691366135800,274.9841357421875,73
1773230692166154500,275.78415454101565,74
1773230692726152200,276.3441520996094,75
1773230693126145000,276.74414501953123,76
1773230694006179600,277.6241796875,77
1773230694886185700,278.50418579101563,79
1773230695366164500,278.98416455078126,80
1773230696726179000,280.3441789550781,81
1773230697286179800,280.9041799316406,82
1773230697766159400,281.3841594238281,83
1773230698246169600,281.86416967773437,84
1773230698886154200,282.504154296875,85
1773230699606124800,283.22412475585935,86
1773230700006117600,283.62411767578124,87
1773230700486097400,284.10409741210935,88
1773230701046092800,284.6640927734375,89
1773230701606090500,285.2240905761719,90
1773230702246103000,285.86410302734373,91
1773230702966103600,286.584103515625,92
1773230703526099200,287.14409912109375,93
1773230704006110700,287.62411083984375,94
1773230704566104300,288.1841042480469,95
1773230704966100200,288.5841003417969,96
1773230705526157000,289.14415698242186,97
1773230706326144500,289.94414453125,98
1773230706886172200,290.5041721191406,99
1773230707606173000,291.2241728515625,100
1773230708166171000,291.7841708984375,101
1773230709046143500,292.6641435546875,102
1773230710326141400,293.94414135742187,103
1773230710806168600,294.42416845703127,104
1773230711206165500,294.8241655273437,105
1773230712086169300,295.70416943359373,106
1773230712806169600,296.42416967773437,107
1773230713126177800,296.744177734375,108
1773230713686176300,297.30417626953124,109
1773230714246171600,297.8641716308594,110
1773230714886188300,298.5041882324219,111
1773230715606158800,299.2241589355469,112
1773230716726163000,300.3441628417969,113
1773230717366147600,300.9841477050781,114
1773230717926144500,301.54414453125,115
1773230718486140200,302.10414013671874,116
1773230719206142700,302.8241428222656,117
1773230719846158300,303.4641584472656,118
