time,seconds_elapsed,dBFS
1773230438503000000,22.121,-24
1773230438616000000,22.234,-21
1773230438724000000,22.342,-26
1773230438835000000,22.453,-20
1773230438946000000,22.563999755859374,-22
1773230439057000000,22.675,-24
1773230439168000000,22.786,-20
1773230439280000000,22.898,-20
1773230439391000000,23.009,-23
1773230439502000000,23.120000244140623,-23
1773230439612000000,23.23,-17
1773230439723000000,23.341,-21
1773230439834000000,23.451999755859376,-23
1773230439945000000,23.563,-21
1773230440056000000,23.674,-22
1773230440170000000,23.787999755859374,-17
1773230440280000000,23.898,-21
1773230440391000000,24.009,-27
1773230440501000000,24.119,-21
1773230440613000000,24.231,-20
1773230440724000000,24.342,-24
1773230440836000000,24.454,-25
1773230440946000000,24.563999755859374,-19
1773230441056000000,24.674,-19
1773230441168000000,24.786,-23
1773230441280000000,24.898,-22
1773230441390000000,25.008000244140625,-23
1773230441502000000,25.120000244140623,-21
1773230441612000000,25.23,-20
1773230441726000000,25.344000244140624,-23
1773230441833000000,25.451,-16
1773230441946000000,25.563999755859374,-26
1773230442056000000,25.674,-21
1773230442167000000,25.785,-24
1773230442279000000,25.897,-26
1773230442389000000,26.007,-25
1773230442501000000,26.119,-27
1773230442612000000,26.23,-26
1773230442722000000,26.339999755859374,-30
1773230442833000000,26.451,-26
1773230442945000000,26.563,-28
1773230443056000000,26.674,-30
1773230443169000000,26.787,-30
1773230443279000000,26.897,-28
1773230443388000000,27.006,-31
1773230443500000000,27.118,-33
1773230443610000000,27.227999755859376,-27
1773230443722000000,27.339999755859374,-25
1773230443834000000,27.451999755859376,-28
1773230443944000000,27.562,-31
1773230444056000000,27.674,-23
1773230444167000000,27.785,-26
1773230444278000000,27.896000244140627,-26
1773230444390000000,28.008000244140625,-22
1773230444500000000,28.118,-28
1773230444611000000,28.229,-31
1773230444722000000,28.339999755859374,-24
1773230444833000000,28.451,-29
1773230444945000000,28.563,-18
1773230445056000000,28.674,-22
1773230445167000000,28.785,-22
1773230445278000000,28.896000244140627,-35
1773230445389000000,29.007,-25
1773230445500000000,29.118,-32
1773230445610000000,29.227999755859376,-22
1773230445721000000,29.339,-24
1773230445833000000,29.451,-25
1773230445944000000,29.562,-32
1773230446056000000,29.674,-34
1773230446167000000,29.785,-29
1773230446277000000,29.895,-29
1773230446388000000,30.006,-31
1773230446500000000,30.118,-33
1773230446611000000,30.229,-30
1773230446721000000,30.339,-31
1773230446832000000,30.45,-28
1773230446942000000,30.560000244140625,-27
1773230447054000000,30.672000244140627,-28
1773230447165000000,30.783,-31
1773230447275000000,30.893,-27
1773230447386000000,31.003999755859375,-25
1773230447501000000,31.119,-27
1773230447611000000,31.229,-25
1773230447720000000,31.338,-31
1773230447831000000,31.449,-22
1773230447943000000,31.561,-29
1773230448053000000,31.671,-24
1773230448165000000,31.783,-29
1773230448276000000,31.894,-28
1773230448388000000,32.006,-29
1773230448499000000,32.117,-31
1773230448609000000,32.227,-28
1773230448721000000,32.339,-34
1773230448832000000,32.45,-29
1773230448953000000,32.571,-31
1773230449064000000,32.682,-30
1773230449176000000,32.794,-27
1773230449287000000,32.905,-29
1773230449397000000,33.015,-25
1773230449510000000,33.12800024414062,-18
1773230449620000000,33.238,-33
1773230449730000000,33.34799975585938,-36
1773230449843000000,33.461,-26
1773230449953000000,33.571,-39
1773230450066000000,33.683999755859375,-19
1773230450177000000,33.795,-30
1773230450286000000,33.904000244140626,-32
1773230450398000000,34.01600024414063,-35
1773230450509000000,34.127,-33
1773230450619000000,34.237,-30
1773230450730000000,34.34799975585938,-30
1773230450841000000,34.459,-30
1773230450953000000,34.571,-33
1773230451064000000,34.682,-36
1773230451174000000,34.792000244140624,-35
1773230451287000000,34.905,-32
1773230451399000000,35.017,-30
1773230451508000000,35.126,-23
1773230451620000000,35.238,-24
1773230451733000000,35.351,-31
1773230451842000000,35.45999975585938,-25
1773230451953000000,35.571,-27
1773230452063000000,35.681,-23
1773230452174000000,35.792000244140624,-23
1773230452287000000,35.905,-28
1773230452396000000,36.014,-28
