time,seconds_elapsed,z,y,x
1773230417054164500,0.67216455078125,-12.300000190734863,17.399999618530273,-9.65999984741211
1773230417070187500,0.6881875,-11.279999732971191,17.100000381469727,-11.34000015258789
1773230417086178300,0.70417822265625,-11.039999961853027,17.03999900817871,-12.84000015258789
1773230417102168000,0.72016796875,-11.519999504089355,17.639999389648438,-13.019999504089355
1773230417118190800,0.73619091796875,-10.920000076293945,17.459999084472656,-13.5
1773230417134180400,0.752180419921875,-10.4399995803833,17.760000228881836,-13.559999465942383
1773230417150174200,0.76817431640625,-10.079999923706055,17.69999885559082,-12.960000038146973
1773230417166195700,0.78419580078125,-9.960000038146973,17.15999984741211,-13.079999923706055
1773230417182184200,0.80018408203125,-10.019999504089355,17.15999984741211,-13.5
1773230417198176000,0.816176025390625,-10.019999504089355,16.979999542236328,-13.799999237060547
1773230417214168600,0.83216845703125,-10.260000228881836,17.399999618530273,-13.139999389648438
1773230417230191900,0.84819189453125,-10.979999542236328,17.639999389648438,-12.960000038146973
1773230417246182000,0.864181884765625,-10.859999656677246,18.18000030517578,-13.619999885559082
1773230417286190600,0.904190673828125,-10.019999504089355,16.799999237060547,-13.380000114440918
1773230417302180000,0.92018017578125,-10.380000114440918,16.85999870300293,-13.079999923706055
1773230417318172700,0.936172607421875,-10.859999656677246,17.399999618530273,-12.960000038146973
1773230417334193200,0.952193115234375,-10.019999504089355,18.299999237060547,-12.719999313354492
1773230417350186800,0.968186767578125,-9.479999542236328,18.600000381469727,-12.65999984741211
1773230417366177500,0.984177490234375,-10.019999504089355,18.059999465942383,-13.4399995803833
1773230417382167300,1.000167236328125,-10.199999809265137,17.639999389648438,-14.09999942779541
1773230417398167300,1.016167236328125,-9.65999984741211,17.69999885559082,-13.4399995803833
1773230417414181000,1.03218115234375,-9.539999961853027,17.34000015258789,-12.84000015258789
1773230417430172700,1.048172607421875,-9.719999313354492,17.34000015258789,-13.319999694824219
1773230417446194200,1.064194091796875,-9.239999771118164,17.579999923706055,-13.319999694824219
1773230417462186500,1.0801865234375,-9.420000076293945,17.69999885559082,-13.380000114440918
1773230417478174700,1.0961748046875,-10.380000114440918,17.8799991607666,-13.559999465942383
1773230417494166800,1.112166748046875,-10.559999465942383,18.059999465942383,-12.960000038146973
1773230417510190300,1.1281904296875,-10.199999809265137,17.8799991607666,-13.079999923706055
1773230417526180600,1.1441806640625,-9.779999732971191,17.100000381469727,-13.4399995803833
1773230417542171600,1.160171630859375,-9.960000038146973,17.34000015258789,-13.139999389648438
1773230417558193700,1.176193603515625,-9.719999313354492,17.8799991607666,-12.84000015258789
1773230417574183200,1.19218310546875,-9.539999961853027,18,-13.319999694824219
1773230417590174700,1.2081748046875,-10.139999389648438,17.520000457763672,-13.079999923706055
1773230417606165200,1.224165283203125,-9.779999732971191,17.579999923706055,-12.539999961853027
1773230417622187500,1.2401875,-9.65999984741211,17.219999313354492,-13.019999504089355
1773230417638178800,1.2561787109375,-10.5,16.85999870300293,-13.380000114440918
1773230417654171400,1.27217138671875,-10.5,18,-13.199999809265137
1773230417670194200,1.288194091796875,-9.960000038146973,18.299999237060547,-13.019999504089355
1773230417686184700,1.304184814453125,-10.139999389648438,17.399999618530273,-13.199999809265137
1773230417702174200,1.32017431640625,-10.380000114440918,17.100000381469727,-13.139999389648438
1773230417718197800,1.33619775390625,-10.739999771118164,17.219999313354492,-13.4399995803833
1773230417734188800,1.352188720703125,-11.460000038146973,17.15999984741211,-12.960000038146973
1773230417750179800,1.368179931640625,-11.460000038146973,17.279998779296875,-12.65999984741211
1773230417766169000,1.384169189453125,-11.519999504089355,17.03999900817871,-12.779999732971191
1773230417782191000,1.400191162109375,-11.9399995803833,16.31999969482422,-12.59999942779541
1773230417798184200,1.41618408203125,-12.359999656677246,16.739999771118164,-13.5
1773230417814173200,1.432173095703125,-12,17.520000457763672,-13.559999465942383
1773230417830198000,1.448197998046875,-11.460000038146973,16.739999771118164,-13.079999923706055
1773230417846188300,1.464188232421875,-11.399999618530273,16.5,-13.380000114440918
1773230417862177800,1.480177734375,-11.639999389648438,16.920000076293945,-13.739999771118164
1773230417878168800,1.4961689453125,-10.920000076293945,16.739999771118164,-13.019999504089355
1773230417894192400,1.5121923828125,-10.4399995803833,17.03999900817871,-12.239999771118164
1773230417910185000,1.52818505859375,-10.679999351501465,17.15999984741211,-12.779999732971191
1773230417926174700,1.5441748046875,-10.619999885559082,16.3799991607666,-13.380000114440918
1773230417942197000,1.560197021484375,-11.09999942779541,17.100000381469727,-12.899999618530273
1773230417958186000,1.57618603515625,-11.039999961853027,17.279998779296875,-12
1773230417974177000,1.592177001953125,-11.639999389648438,16.5,-12
1773230417990171400,1.60817138671875,-12.779999732971191,16.3799991607666,-12.779999732971191
1773230418006193700,1.624193603515625,-11.75999927520752,15.899999618530273,-13.139999389648438
1773230418022182100,1.64018212890625,-10.739999771118164,15.839999198913574,-12.719999313354492
1773230418038174700,1.6561748046875,-10.859999656677246,16.440000534057617,-12.479999542236328
1773230418054194200,1.672194091796875,-10.619999885559082,17.100000381469727,-13.139999389648438
1773230418070187800,1.688187744140625,-10.619999885559082,16.799999237060547,-13.619999885559082
1773230418086177000,1.704177001953125,-11.15999984741211,16.739999771118164,-12.960000038146973
1773230418102168300,1.720168212890625,-10.859999656677246,17.100000381469727,-12.65999984741211
1773230418118192600,1.736192626953125,-10.079999923706055,16.559999465942383,-12.899999618530273
1773230418134181000,1.75218115234375,-10.4399995803833,16.440000534057617,-12.179999351501465
1773230418150173700,1.768173583984375,-11.279999732971191,17.15999984741211,-12.359999656677246
1773230418166195500,1.784195556640625,-11.399999618530273,17.520000457763672,-13.199999809265137
1773230418182185500,1.800185546875,-11.279999732971191,17.459999084472656,-12.719999313354492
1773230418198178600,1.816178466796875,-10.619999885559082,17.639999389648438,-12.059999465942383
1773230418214167600,1.83216748046875,-10.619999885559082,17.34000015258789,-12.119999885559082
1773230418230191600,1.848191650390625,-10.619999885559082,16.979999542236328,-12.719999313354492
1773230418246180900,1.864180908203125,-10.319999694824219,17.03999900817871,-12.479999542236328
1773230418262172400,1.88017236328125,-10.679999351501465,16.979999542236328,-12.059999465942383
1773230418278194200,1.896194091796875,-10.5,17.100000381469727,-12.300000190734863
1773230418294185200,1.912185302734375,-10.559999465942383,17.69999885559082,-12.59999942779541
1773230418310178800,1.9281787109375,-10.559999465942383,17.579999923706055,-12.420000076293945
1773230418326169300,1.94416943359375,-10.619999885559082,16.979999542236328,-12.420000076293945
1773230418342189300,1.960189208984375,-11.15999984741211,16.85999870300293,-13.139999389648438
1773230418358182400,1.976182373046875,-10.619999885559082,17.760000228881836,-13.019999504089355
1773230418374172700,1.992172607421875,-10.019999504089355,17.81999969482422,-12.420000076293945
1773230418390193400,2.008193359375,-9.899999618530273,16.979999542236328,-12.719999313354492
1773230418406187500,2.0241875,-10.260000228881836,16.979999542236328,-13.139999389648438
1773230418422175700,2.04017578125,-10.920000076293945,17.639999389648438,-13.079999923706055
1773230418438167800,2.056167724609375,-11.039999961853027,17.639999389648438,-12.84000015258789
1773230418454191400,2.07219140625,-10.619999885559082,17.760000228881836,-13.079999923706055
1773230418470181600,2.088181640625,-10.5,17.940000534057617,-13.019999504089355
1773230418486173000,2.1041728515625,-11.039999961853027,17.579999923706055,-12.59999942779541
1773230418502193700,2.120193603515625,-11.34000015258789,17.100000381469727,-13.019999504089355
1773230418518184200,2.13618408203125,-10.260000228881836,17.219999313354492,-12.84000015258789
1773230418534178600,2.152178466796875,-9.719999313354492,17.520000457763672,-12.300000190734863
1773230418550199800,2.16819970703125,-9.59999942779541,17.399999618530273,-12.779999732971191
1773230418566190300,2.1841904296875,-9.539999961853027,17.15999984741211,-13.4399995803833
1773230418582180900,2.200180908203125,-10.5,16.5,-13.199999809265137
1773230418598172700,2.216172607421875,-9.84000015258789,16.68000030517578,-13.079999923706055
1773230418614193000,2.23219287109375,-9.779999732971191,17.100000381469727,-13.380000114440918
1773230418630186000,2.24818603515625,-9.960000038146973,17.100000381469727,-12.899999618530273
1773230418646176500,2.264176513671875,-10.019999504089355,16.85999870300293,-12.84000015258789
1773230418662197200,2.280197265625,-10.739999771118164,16.799999237060547,-12.779999732971191
1773230418678187500,2.2961875,-10.920000076293945,17.520000457763672,-12.539999961853027
1773230418694181400,2.312181396484375,-10.319999694824219,17.03999900817871,-12.420000076293945
1773230418710173000,2.3281728515625,-9.84000015258789,16.19999885559082,-12.420000076293945
1773230418726194000,2.34419384765625,-10.139999389648438,16.079999923706055,-12.899999618530273
1773230418742184700,2.360184814453125,-10.380000114440918,16.739999771118164,-12.359999656677246
1773230418758175200,2.37617529296875,-10.260000228881836,18,-12
1773230418774197200,2.392197265625,-10.559999465942383,17.34000015258789,-12.119999885559082
1773230418790190600,2.408190673828125,-10.920000076293945,16.979999542236328,-12.059999465942383
1773230418806180900,2.424180908203125,-10.319999694824219,17.219999313354492,-12.65999984741211
1773230418822172000,2.440171875,-9.960000038146973,17.279998779296875,-12.84000015258789
1773230418838193000,2.45619287109375,-9.719999313354492,17.15999984741211,-12.359999656677246
1773230418854184000,2.472183837890625,-9.539999961853027,16.3799991607666,-11.880000114440918
1773230418870177000,2.488177001953125,-9.779999732971191,16.3799991607666,-12.119999885559082
1773230418886199000,2.504198974609375,-10.199999809265137,16.619998931884766,-12.719999313354492
1773230418902187500,2.5201875,-10.019999504089355,16.19999885559082,-12.300000190734863
1773230418918178300,2.53617822265625,-10.4399995803833,16.559999465942383,-12
1773230418934172700,2.552172607421875,-10.380000114440918,16.979999542236328,-11.880000114440918
